video_id,label,modality
-0Zg_dXR_6I_000013,,
-0pJqpNjft4_000267,,
--U7joUcTCo_000000,,
-0pJqpNjft4_000267,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,,
-0pJqpNjft4_000267,,
--U7joUcTCo_000000,,
-2sE5CH8Wb8_000030,,
-3-4qmWSJXU_000030,,
-2xiZDEuHd8_000030,,
-3-4qmWSJXU_000030,,
-2sE5CH8Wb8_000030,,
--U7joUcTCo_000000,,
-0pJqpNjft4_000267,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
--U7joUcTCo_000000,people belly laughing,AV
--U7joUcTCo_000000,people coughing,AV
--U7joUcTCo_000000,people sniggering,AV
-2sE5CH8Wb8_000030,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
--U7joUcTCo_000000,people belly laughing,AV
--U7joUcTCo_000000,people coughing,AV
--U7joUcTCo_000000,people sniggering,AV
-2sE5CH8Wb8_000030,,
-3-4qmWSJXU_000030,raining,AV
-3-4qmWSJXU_000030,thunder,A
-3-4qmWSJXU_000030,wind noise,AV
-2xiZDEuHd8_000030,,
-3-4qmWSJXU_000030,raining,AV
-3-4qmWSJXU_000030,thunder,A
-3-4qmWSJXU_000030,wind noise,AV
-2xiZDEuHd8_000030,"child speech, kid speaking",A
-2xiZDEuHd8_000030,people burping,A
-2xiZDEuHd8_000030,pig oinking,AV
-2sOH8XovEE_000484,"female speech, woman speaking",A
-2sOH8XovEE_000484,playing table tennis,AV
-3YWuPXHknk_000030,,
-7sg--aJdrc_000049,,
-3YWuPXHknk_000030,car engine idling,AV
-3YWuPXHknk_000030,car engine starting,AV
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV
-7sg--aJdrc_000049,gibbon howling,AV
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
--U7joUcTCo_000000,people belly laughing,AV
--U7joUcTCo_000000,people coughing,AV
--U7joUcTCo_000000,people sniggering,AV
-2sE5CH8Wb8_000030,,
-3YWuPXHknk_000030,car engine idling,AV
-3YWuPXHknk_000030,car engine starting,AV
-7IhwezUrUA_000590,,
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV
-7sg--aJdrc_000049,gibbon howling,AV
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,fire crackling,A
-0pJqpNjft4_000267,missile launch,AV
-0pJqpNjft4_000267,wind noise,A
--U7joUcTCo_000000,wind noise,A
-2sE5CH8Wb8_000030,,
-3-4qmWSJXU_000030,raining,AV
-3-4qmWSJXU_000030,thunder,A
-3-4qmWSJXU_000030,wind noise,AV
-2xiZDEuHd8_000030,"child speech, kid speaking",A
-2xiZDEuHd8_000030,people burping,A
-2xiZDEuHd8_000030,pig oinking,AV
-2sOH8XovEE_000484,"female speech, woman speaking",A
-2sOH8XovEE_000484,playing table tennis,AV
-3YWuPXHknk_000030,car engine idling,AV
-3YWuPXHknk_000030,car engine starting,AV
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV
-7sg--aJdrc_000049,gibbon howling,AV
-7IhwezUrUA_000590,,
-7tYmeOmsRg_000180,,
-7IhwezUrUA_000590,,
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV
-7sg--aJdrc_000049,gibbon howling,AV
-3YWuPXHknk_000030,chimpanzee pant-hooting,AV
-3YWuPXHknk_000030,gibbon howling,AV
-2sOH8XovEE_000484,car engine idling,AV
-2sOH8XovEE_000484,car engine starting,AV
-2xiZDEuHd8_000030,car engine idling,AV
-2xiZDEuHd8_000030,car engine starting,AV
-3-4qmWSJXU_000030,,
-2sE5CH8Wb8_000030,,
--U7joUcTCo_000000,,
-0pJqpNjft4_000267,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,,
-0pJqpNjft4_000267,,
--U7joUcTCo_000000,,
-2sE5CH8Wb8_000030,,
-3-4qmWSJXU_000030,,
-2xiZDEuHd8_000030,,
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
--U7joUcTCo_000000,people belly laughing,AV
--U7joUcTCo_000000,people coughing,AV
--U7joUcTCo_000000,people sniggering,AV
-2sE5CH8Wb8_000030,,
-ANxUxvGASw_000010,,
-7tYmeOmsRg_000180,,
-7IhwezUrUA_000590,,
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV
-7sg--aJdrc_000049,gibbon howling,AV
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
-BftHoV-kXI_000168,,
-ANxUxvGASw_000010,,
-7tYmeOmsRg_000180,,
-7IhwezUrUA_000590,,
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV
-7sg--aJdrc_000049,gibbon howling,AV
-7IhwezUrUA_000590,"male speech, man speaking",A
-7tYmeOmsRg_000180,eating with cutlery,AV
-7tYmeOmsRg_000180,lip smacking,A
-7tYmeOmsRg_000180,people eating,AV
-ANxUxvGASw_000010,"railroad car, train wagon",AV
-ANxUxvGASw_000010,"subway, metro, underground",AV
-ANxUxvGASw_000010,train wheels squealing,A
-ANxUxvGASw_000010,train whistling,A
-BftHoV-kXI_000168,swimming,AV
-BftHoV-kXI_000168,underwater bubbling,AV
-E5o64ACjm0_000017,lathe spinning,AV
-Cv3gOXEoxA_000040,dog barking,AV
-Cv3gOXEoxA_000040,dog baying,AV
-Cv3gOXEoxA_000040,fox barking,AV
-Cv3gOXEoxA_000040,wind rustling leaves,A
-FoTxwPOz3U_000000,baby babbling,AV
-FoTxwPOz3U_000000,"child speech, kid speaking",AV
-FoTxwPOz3U_000000,"female speech, woman speaking",A
-FoTxwPOz3U_000000,people babbling,A
-FoTxwPOz3U_000000,people gargling,AV
-FoTxwPOz3U_000000,people running,AV
-FoTxwPOz3U_000000,people slurping,A
-GW1J75oAKU_000304,"playing violin, fiddle",AV
-Gr9P8Abnlk_000110,"male speech, man speaking",AV
-Gr9P8Abnlk_000110,sliding door,AV
-Gr9P8Abnlk_000110,toilet flushing,A
-HMEhGV38GM_000216,beat boxing,AV
-HMEhGV38GM_000216,male singing,AV
-HMEhGV38GM_000216,playing congas,AV
-HAoExLVs6Q_000380,people crowd,AV
-HAoExLVs6Q_000380,"railroad car, train wagon",AV
-HAoExLVs6Q_000380,train horning,AV
-HAoExLVs6Q_000380,train wheels squealing,AV
-HAoExLVs6Q_000380,train whistling,AV
-JBH9j7-h8U_000030,cap gun shooting,AV
-JBH9j7-h8U_000030,duck quacking,AV
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,"male speech, man speaking",A
-0pJqpNjft4_000267,people whistling,A
--U7joUcTCo_000000,people belly laughing,AV
--U7joUcTCo_000000,people coughing,AV
--U7joUcTCo_000000,people sniggering,AV
-2sE5CH8Wb8_000030,,
-2sE5CH8Wb8_000030,,
-3-4qmWSJXU_000030,car passing by,V
-3-4qmWSJXU_000030,raining,AV
-3-4qmWSJXU_000030,thunder,A
-2xiZDEuHd8_000030,"child speech, kid speaking",A
-2xiZDEuHd8_000030,people burping,A
-2xiZDEuHd8_000030,pig oinking,AV
-2sOH8XovEE_000484,"female speech, woman speaking",A
-2sOH8XovEE_000484,playing table tennis,AV
-3YWuPXHknk_000030,car engine idling,A
-3YWuPXHknk_000030,car engine starting,AV
-7sg--aJdrc_000049,chimpanzee pant-hooting,A
-7sg--aJdrc_000049,gibbon howling,A
-7IhwezUrUA_000590,"male speech, man speaking",A
-7tYmeOmsRg_000180,eating with cutlery,AV
-7tYmeOmsRg_000180,lip smacking,A
-7tYmeOmsRg_000180,people eating,AV
-ANxUxvGASw_000010,"railroad car, train wagon",AV
-ANxUxvGASw_000010,"subway, metro, underground",AV
-ANxUxvGASw_000010,train wheels squealing,A
-BftHoV-kXI_000168,swimming,AV
-BftHoV-kXI_000168,underwater bubbling,AV
-E5o64ACjm0_000017,lathe spinning,AV
-Cv3gOXEoxA_000040,dog barking,AV
-Cv3gOXEoxA_000040,dog baying,AV
-Cv3gOXEoxA_000040,wind rustling leaves,AV
-FoTxwPOz3U_000000,baby babbling,AV
-FoTxwPOz3U_000000,"child speech, kid speaking",AV
-FoTxwPOz3U_000000,"female speech, woman speaking",A
-FoTxwPOz3U_000000,people babbling,A
-FoTxwPOz3U_000000,people gargling,AV
-FoTxwPOz3U_000000,people running,AV
-FoTxwPOz3U_000000,people slurping,A
-GW1J75oAKU_000304,"playing violin, fiddle",AV
-FoTxwPOz3U_000000,"child speech, kid speaking",AV
-FoTxwPOz3U_000000,"female speech, woman speaking",A
-FoTxwPOz3U_000000,people babbling,A
-FoTxwPOz3U_000000,people gargling,AV
-FoTxwPOz3U_000000,people running,AV
-FoTxwPOz3U_000000,people slurping,A
-GW1J75oAKU_000304,"playing violin, fiddle",AV
-Gr9P8Abnlk_000110,"male speech, man speaking",AV
-Gr9P8Abnlk_000110,sliding door,AV
-Gr9P8Abnlk_000110,toilet flushing,A
-HMEhGV38GM_000216,beat boxing,AV
-HMEhGV38GM_000216,male singing,AV
-HMEhGV38GM_000216,playing congas,AV
-HAoExLVs6Q_000380,people crowd,AV
-HAoExLVs6Q_000380,"railroad car, train wagon",AV
-HAoExLVs6Q_000380,train horning,AV
-HAoExLVs6Q_000380,train wheels squealing,AV
-HAoExLVs6Q_000380,train whistling,AV
-JBH9j7-h8U_000030,cap gun shooting,AV
-JBH9j7-h8U_000030,duck quacking,AV
-HAoExLVs6Q_000380,people crowd,V
-HAoExLVs6Q_000380,"railroad car, train wagon",AV
-HAoExLVs6Q_000380,train wheels squealing,AV
-HAoExLVs6Q_000380,train whistling,A
-JBH9j7-h8U_000030,cap gun shooting,AV
-JGpAlLrSD0_000458,railroad car  train wagon,AV
-JUhUI_KvUI_000026,gibbon howling,AV
-JzMCtGCh4o_000000,frog croaking,A
-JzMCtGCh4o_000000,male speech  man speaking,A
-KqXcm-I2zY_000162,playing tennis,AV
-KBH8YmHR-0_000050,"male speech, man speaking",A
-KBH8YmHR-0_000050,snake hissing,AV
-KBH8YmHR-0_000050,snake rattling,AV
-M7ZNV6gLo0_000310,"female speech, woman speaking",A
-M7ZNV6gLo0_000310,railroad car  train wagon,V
-Lv13WPa4xk_000170,airplane,AV
-Lv13WPa4xk_000170,airplane flyby,AV
-Lv13WPa4xk_000170,"male speech, man speaking",A
-Lv13WPa4xk_000170,wind noise,A
-PyXfNxnHKs_000110,"female speech, woman speaking",A
-PyXfNxnHKs_000110,opening or closing drawers,V
-RUIfdLiXdk_000045,heart sounds  heartbeat,A
-UKH_6moRZc_000180,"child speech, kid speaking",A
-UKH_6moRZc_000180,"male speech, man speaking",A
-UKH_6moRZc_000180,people babbling,AV
-UKH_6moRZc_000180,sloshing water,AV
-UKH_6moRZc_000180,splashing water,AV
-W3WpZvJX2o_000027,running electric fan,A
-V9U5F14AVY_000040,"male speech, man speaking",A
-V9U5F14AVY_000040,pumping water,AV
-V9U5F14AVY_000040,splashing water,AV
-Y8sJDoL1YA_000015,alarm clock ringing,A
-Y8sJDoL1YA_000015,playing gong,A
-VLOm8cJZRI_000070,,
-c6baaENcjA_000204,sea lion barking,AV
-c6baaENcjA_000204,sloshing water,AV
-c6baaENcjA_000204,splashing water,AV
-c6baaENcjA_000204,swimming,AV
-cm0voL_GRM_000322,"male speech, man speaking",AV
-crF-0Z7l3o_000447,playing bassoon,AV
-fJsZm3YRc0_000030,car engine idling,A
-fJsZm3YRc0_000030,engine accelerating  revving  vroom,A
-fJsZm3YRc0_000030,reversing beeps,A
